model_name,developer_company,release_year,model_version,model_description,primary_use_case,supports_multilingual,supports_code_generation,supports_reasoning,supports_chat,access_type,license_type,commercial_use_allowed,training_scale,estimated_parameters,compute_intensity,model_category
Neptune-1,DeepMind,2021,v2.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,Open,Research,0,Small,272310554,High,Open-Source
Vertex-4,AI Labs,2024,v2.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,1,Closed,Commercial,0,Small,181707823,Low,Research
Helios-2,Baidu,2023,v5.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Open,Open,1,Large,195151326,High,Research
Neptune-1,Anthropic,2022,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,API,Commercial,0,Medium,191734506,Low,Research
Orion-2,NeuralWorks,2020,v5.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,API,Open,0,Large,175097967,Low,Open-Source
Aurora-6,Cohere,2022,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,API,Commercial,0,Medium,75963459,Low,Research
Vertex-9,DeepMind,2024,v5.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,Open,Research,0,Small,86889680,High,Open-Source
Nimbus-2,Cohere,2024,v5.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Commercial,0,Medium,234412819,Low,Enterprise
Aurora-5,AI Labs,2020,v5.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Open,Open,0,Large,175029959,Medium,Enterprise
Neptune-6,DeepMind,2021,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,API,Research,0,Large,256165283,High,Research
Orion-9,NeuralWorks,2024,v2.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Closed,Open,1,Small,134093315,Low,Research
Zenith-1,NeuralWorks,2021,v5.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,Open,Research,1,Small,277035466,Low,Research
Cosmos-4,AI Labs,2020,v5.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,1,Open,Research,0,Large,232418842,Medium,Enterprise
Helios-8,OpenAI,2019,v1.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,0,Open,Open,1,Small,227495980,Low,Enterprise
Cosmos-4,Google AI,2025,v5.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Open,Commercial,1,Medium,115754704,Medium,Enterprise
Atlas-7,OpenAI,2024,v3.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Open,Commercial,0,Small,292088834,Low,Research
Zenith-1,OpenAI,2025,v5.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,Open,Open,0,Large,127274130,Medium,Open-Source
Nimbus-4,NeuralWorks,2018,v5.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,API,Open,1,Small,143600706,Medium,Research
Orion-8,Baidu,2019,v1.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,Open,Commercial,0,Small,199388346,Medium,Research
Cosmos-9,DeepMind,2018,v5.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,Open,Open,0,Medium,152266747,High,Research
Zenith-4,DeepMind,2025,v3.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,0,Open,Commercial,0,Large,141636163,Low,Research
Cosmos-9,Cohere,2018,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,Closed,Research,0,Medium,196770789,Low,Open-Source
Nova-4,Google AI,2023,v5.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Research,0,Large,179340712,Medium,Enterprise
